Order_Date,Sales,Quantity,Discount,Profit,Year,Month,Quarter,Category_Furniture,Category_Office Supplies,Category_Technology,Region_East,Region_North,Region_South,Region_West,Segment_Consumer,Segment_Corporate,Segment_Home Office
2020-01-01,-0.7536663314737905,0.3805797442971633,0.23598693110704008,-0.4735297316570482,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,False,False,True,False,False,True,False,True,False,False
2020-01-02,0.014168270577636368,0.3805797442971633,-0.4129011984740914,-0.14713191630633035,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,True,False,False,False,False,True,False,False,False,True
2020-01-03,-1.3784157860004655,-1.579151173813873,-0.6104048155949986,0.8865338445603178,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,False,False,True,False,False,False,True,False,False,True
2020-01-04,0.5408007057422615,-0.011366439325043977,-0.9173694156291653,1.0281978673323209,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,False,False,True,True,False,False,False,True,False,False
2020-01-05,-1.6398084813387015,0.3805797442971633,0.11903877040937688,-0.9372628247369245,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,True,False,False,True,False,False,False,False,False,True
2020-01-06,-0.2092902734783543,1.1644721115415777,1.453310494304565,1.509672957287636,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,True,False,False,True,False,False,False,False,False,True
2020-01-07,0.18268467873093633,-1.579151173813873,0.6418454212077064,1.2906117115657905,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,False,False,True,False,False,False,True,True,False,False
2020-01-08,-0.7481760756882003,-0.011366439325043977,0.8461444017558583,-1.691702873916676,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,False,True,False,False,False,True,False,False,True,False
2020-01-09,0.014168270577636368,-0.7952588065694585,1.1591891858059902,-1.3041266960715192,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,False,False,True,False,False,False,True,True,False,False
2020-01-10,0.014168270577636368,-1.1872049901916657,-0.5206113157151593,-0.01342474098195835,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,False,False,True,False,False,True,False,False,False,True
2020-01-11,-0.7257469622623794,1.1644721115415777,-1.5254067129415305,-0.13683628622211166,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,False,False,True,False,False,False,True,False,False,True
2020-01-12,0.4267461850718342,0.7725259279193706,0.42212237256452506,0.7321163074678223,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,False,False,True,False,False,False,True,False,False,True
2020-01-13,-0.7341958716350934,0.7725259279193706,-1.0876725829596297,-1.4405851987984093,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,True,False,False,False,False,True,False,True,False,False
2020-01-14,1.4398209569648865,-0.011366439325043977,0.23590568621076433,0.5089898158602811,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,False,False,True,True,False,False,False,False,False,True
2020-01-15,0.4532900158678389,1.556418295163785,0.829078278971589,0.408953819041451,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,False,True,False,False,False,True,False,False,False,True
2020-01-16,0.014168270577636368,-0.011366439325043977,0.9826307266791934,-0.9352029738351773,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,True,False,False,False,True,False,False,True,False,False
2020-01-17,-1.6905749054738441,-1.1872049901916657,-0.693885952529835,0.14916227899849396,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,False,True,False,False,True,False,False,False,True,False
2020-01-18,-0.01521752268180915,-0.7952588065694585,0.03891840894324436,-0.9752814328847401,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,False,True,False,False,False,True,False,False,True,False
2020-01-19,0.9491050152792785,-0.40331262294725123,0.41657674994379307,-1.2396672038915588,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,False,True,False,False,False,False,True,False,False,True
2020-01-20,-0.8659671446525014,-0.011366439325043977,1.1073515989032652,0.25711955725015817,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,False,True,False,False,True,False,False,True,False,False
2020-01-21,1.1017999934791707,-0.7952588065694585,0.9052086616154381,1.6770934384418619,-1.5243399601990515,-1.5490426249729816,-1.3022548111532801,True,False,False,False,True,False,False,False,False,True
